day,wallet,price
2022-10-9,6575.806179580685,0.080055
2022-10-10,6575.806179580685,0.083728
2022-10-11,6403.480017699587,0.080483
2022-10-12,6446.1617982173475,0.078933
2022-10-13,6446.1617982173475,0.077514
2022-10-14,6446.1617982173475,0.083009
2022-10-15,6446.1617982173475,0.081915
2022-10-16,6410.459423500988,0.081797
2022-10-17,6713.752673485081,0.085667
2022-10-18,6870.571741500112,0.087668
2022-10-19,6540.162350819767,0.083452
2022-10-20,6306.618711297133,0.080472
2022-10-21,6344.941811876519,0.080961
2022-10-22,6298.626283686156,0.08039
2022-10-23,6298.626283686156,0.081757
2022-10-24,6298.626283686156,0.08037
2022-10-25,6298.626283686156,0.080783
2022-10-26,6298.626283686156,0.082002
2022-10-27,6298.626283686156,0.082549
2022-10-28,6231.734670214277,0.081687
2022-10-29,6282.526605238207,0.082788
2022-10-30,6454.865808027209,0.085059
2022-10-31,6437.867137210504,0.084835
2022-11-1,6472.623348076802,0.085293
2022-11-2,6300.132371441222,0.08302
2022-11-3,6297.096894509667,0.08298
2022-11-4,6754.467381171632,0.089007
2022-11-5,7002.693507249495,0.092278
2022-11-6,6774.501528919891,0.089271
2022-11-7,6883.702811532561,0.09071
2022-11-8,6446.82179415859,0.084953
2022-11-9,5681.274512020563,0.074865
2022-11-10,4848.946737388337,0.063897
2022-11-11,4844.728153726809,0.065328
2022-11-12,4844.728153726809,0.064664
2022-11-13,4844.728153726809,0.063274
2022-11-14,4844.728153726809,0.058651
2022-11-15,4844.728153726809,0.063049
2022-11-16,4844.728153726809,0.063866
2022-11-17,4844.728153726809,0.060651
2022-11-18,4844.728153726809,0.061153
2022-11-19,4844.728153726809,0.059679
2022-11-20,4844.728153726809,0.060186
2022-11-21,4844.728153726809,0.05547
2022-11-22,4844.728153726809,0.054916
2022-11-23,4844.728153726809,0.0589
2022-11-24,4844.728153726809,0.061403
2022-11-25,4844.728153726809,0.061401
2022-11-26,4844.728153726809,0.062729
2022-11-27,4832.828251046975,0.061
2022-11-28,4807.335484479318,0.059644
2022-11-29,4880.945435401046,0.062562
2022-11-30,4992.275556653818,0.06328
2022-12-1,5036.849445552512,0.063845
2022-12-2,4885.298223296951,0.061924
2022-12-3,4985.727534036842,0.063197
2022-12-4,4986.989803456982,0.063213
2022-12-5,5019.651024703106,0.063627
2022-12-6,5488.031871413815,0.069564
2022-12-7,5458.289648201765,0.069187
2022-12-8,6361.91676934451,0.080641
2022-12-9,7598.467450049186,0.096315
2022-12-10,8764.883286097333,0.1111
2022-12-11,7675.702560194005,0.097294
2022-12-12,7954.664102044951,0.10083
2022-12-13,7597.994099016634,0.096309
2022-12-14,7301.834136316279,0.092555
2022-12-15,7873.089940768401,0.099796
2022-12-16,8140.848841515605,0.10319
2022-12-17,7132.611142178756,0.09041
2022-12-18,7062.870756716019,0.089526
2022-12-19,6928.991306342418,0.087829
2022-12-20,6922.9630839059,0.086343
2022-12-21,6922.9630839059,0.083966
2022-12-22,6922.9630839059,0.097931
2022-12-23,6922.9630839059,0.093754
2022-12-24,6664.104453748433,0.090327
2022-12-25,6840.359012629001,0.092716
2022-12-26,7188.220144952933,0.097431
2022-12-27,7389.559069685067,0.10016
2022-12-28,7034.172627605664,0.095343
2022-12-29,7247.242182250737,0.098231
2022-12-30,6827.816829703217,0.092546
2022-12-31,6887.7241975604875,0.093358
2023-1-1,6787.305063147886,0.09161
2023-1-2,6787.305063147886,0.091628
2023-1-3,6787.305063147886,0.099415
2023-1-4,7199.13547020058,0.10323
2023-1-5,7729.150287342151,0.11083
2023-1-6,7505.986153808859,0.10763
2023-1-7,9153.216414451479,0.13125
2023-1-8,11221.66897713819,0.16091
2023-1-9,10084.926671952977,0.14461
2023-1-10,11262.117476341098,0.16149
2023-1-11,13363.347271140514,0.19162
2023-1-12,12573.206760849198,0.18029
2023-1-13,14796.47944117463,0.21217
2023-1-14,18118.83547915153,0.25981
2023-1-15,15770.730361630915,0.22614
2023-1-16,16216.361240780207,0.23253
2023-1-17,17364.95914055938,0.249
2023-1-18,19149.57482090843,0.27459
2023-1-19,18015.622067392385,0.25833
2023-1-20,19061.006555412405,0.27332
2023-1-21,19700.51127556875,0.28249
2023-1-22,19086.112520434897,0.27368
2023-1-23,18500.306669910005,0.26528
2023-1-24,20030.375760447645,0.28722
2023-1-25,18794.604371007037,0.2695
2023-1-26,18963.37224699159,0.27192
2023-1-27,18257.615674692548,0.2618
2023-1-28,19941.80749495162,0.28595
2023-1-29,20239.592135635106,0.29022
2023-1-30,19770.94745521519,0.2835
2023-1-31,18238.088813008384,0.26152
2023-2-1,19559.638916275857,0.28047
2023-2-2,19916.701529929127,0.28559
2023-2-3,19021.95283204408,0.27276
2023-2-4,22795.51885250861,0.32687
2023-2-5,23315.072850890807,0.33432
2023-2-6,29787.5301112736,0.42713
2023-2-7,34608.572783510026,0.49626
2023-2-8,41122.175931013015,0.58966
2023-2-9,31118.14625746586,0.44621
2023-2-10,27716.985384835018,0.39744
2023-2-11,28611.036694802773,0.41026
2023-2-12,29141.051511944344,0.41786
2023-2-13,28100.548739345362,0.40294
2023-2-14,26486.793098732738,0.3798
2023-2-15,31074.908206593784,0.44559
2023-2-16,33040.84474543864,0.47378
2023-2-17,30377.520289302243,0.43559
2023-2-18,30945.19405397756,0.44373
2023-2-19,30473.062433971187,0.43696
2023-2-20,29639.683872807793,0.42501
2023-2-21,29654.329019070916,0.42522
2023-2-22,29603.419701108633,0.42449
2023-2-23,31826.692381434066,0.45637
2023-2-24,30712.266489602185,0.44039
2023-2-25,31626.542049171396,0.4535
2023-2-26,30025.339391070014,0.43054
